ID;ACTIVIDAD;OPERACION;TIPO_EQUIPO;MARCA;MODELO;ANTIG_c;ANO;ANTIG;VELOC_prom;DIESEL_lts;EURO_lts;TOTAL_lts;KM;CONSUMO;CORRECTIVO_usd;CORRECTIVO_cant;PREVENTIVO_usd;PREVENTIVO_cant;HS_encendido;HS_ralenti;DIAS_svs
CAM0056;ACARREO y LD;OP0019;Tractor;MERCEDES BENZ;ACTROS 2548;1-0km;2022;0.5;40.01;0;12461.7;12461.7;34313.4;36.32;4957.28;5;4019.25;12;654.5;108.23;131
CAM0180;ACARREO y LD;OP0025;Tractor;MERCEDES BENZ;AXOR 2035;2-MEDIO;2013;9;48.01;21785.02;21283.65;43068.67;130993.38;32.88;695.96;6;21238.56;46;2279.31;348.89;251
CAM0181;DISTRIBUCION;OP0016;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;14.03;585.13;2501.04;3086.17;10121.35;30.49;2130.58;11;1088.15;13;731.19;341.01;229
CAM0182;DISTRIBUCION;OP0015;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;21.51;3026.16;4567.15;7593.31;25792.82;29.44;3851.2;26;2845.54;6;973.19;269.74;275
CAM0183;DISTRIBUCION;OP0015;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;19.85;620.47;5966.03;6586.5;21286.33;30.94;2673.78;39;585.55;4;860.47;266.34;293
CAM0184;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;17.62;2189.06;468.57;2657.63;8597.82;30.91;28.46;7;3023.86;30;651;129.28;269
CAM0185;DISTRIBUCION;OP0007;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;17.01;290.5;389.09;679.59;1644.63;41.32;101.14;1;2621.67;34;200.01;108.9;105
CAM0186;DISTRIBUCION;OP0009;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;22.63;5745.46;2180.05;7925.51;26107.47;30.36;975.21;8;1517.85;4;748.81;123.43;292
CAM0187;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2013;9;18.93;2683.24;646.34;3329.58;10520.88;31.65;757.7;6;3489.04;18;464.61;113.57;203
CAM0188;DISTRIBUCION;OP0020;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;21.57;405.09;3571.85;3976.94;12226.77;32.53;2005.85;35;1791.79;30;784.52;260.3;290
CAM0189;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;18.09;3001.19;1190.7;4191.89;11577.62;36.21;553.05;4;3654.42;21;806.28;310.29;260
CAM0190;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;15.76;3483.34;577.55;4060.89;12675.64;32.04;1096.09;11;3078.51;33;787.69;307.11;275
CAM0191;DISTRIBUCION;OP0014;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;33.37;6005.4;2293.96;8299.36;38408.4;21.61;1086.83;14;2093.21;20;968.86;385.84;231
CAM0192;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;20.03;3674.58;623.1;4297.68;12748.71;33.71;469.71;8;6369.9;24;283.72;57.11;184
CAM0193;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;16.82;1223.54;751.6;1975.14;5769.66;34.23;528.69;11;5311.03;21;519.87;164.74;187
CAM0194;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;15.06;3605.32;1048.95;4654.27;12065.05;38.58;387.25;4;3914.73;19;574.82;125.91;251
CAM0195;DISTRIBUCION;OP0016;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2014;8;26.77;2606.42;8433.85;11040.27;41105.79;26.86;515.53;12;2578.11;17;1591.37;754.19;315
CAM0196;DISTRIBUCION;OP0014;Tractor;MERCEDES BENZ;ATRON 1624;2-MEDIO;2014;8;36.38;17471.09;16170.91;33642;101957.32;33;1806.81;24;4839.48;24;1773.78;116.44;361
CAM0197;DISTRIBUCION;OP0008;Tractor;MERCEDES BENZ;ATRON 1624;2-MEDIO;2014;8;51.82;30108.44;0.9;30109.34;92412.94;32.58;3762.16;15;10148.46;26;1260.79;90.38;280
CAM0198;ACARREO y LD;OP0024;Tractor;MERCEDES BENZ;ATRON 1624;2-MEDIO;2014;8;22.15;13812.43;2012.97;15825.4;52556.67;30.11;438.75;5;3056.14;25;1433.87;190.45;277
CAM0199;DISTRIBUCION;OP0011;Tractor;MERCEDES BENZ;ATRON 1624;2-MEDIO;2014;8;38.12;12326.52;15450.03;27776.55;87743.03;31.66;2995.89;51;7727.19;30;1433.42;198.81;249
CAM0200;DISTRIBUCION;OP0003;Balancin;MERCEDES BENZ;ATEGO 1725;2-MEDIO;2013;9;19.29;5339.53;8441.02;13780.55;35447.4;38.88;7000.93;8;11709.37;31;1851.72;982.19;287
CAM0201;DISTRIBUCION;OP0009;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2015;7;23.73;3855.67;4615.8;8471.47;26580.31;31.87;3637.76;10;20369.58;5;734.18;141.34;292
CAM0202;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2015;7;18.03;1199.1;895.06;2094.16;6287.58;33.31;39.71;7;3070.43;20;396.29;101.51;189
CAM0203;DISTRIBUCION;OP0008;Chasis;MERCEDES BENZ;ATEGO 1418;2-MEDIO;2015;7;22.91;3540.71;185.46;3726.17;10281.61;36.24;3086.04;13;336.01;10;411.24;46.43;215
CAM0204;ACARREO y LD;OP0024;Tractor;MERCEDES BENZ;ATEGO 1725;2-MEDIO;2015;7;23.76;10923.72;5827.22;16750.94;50152.75;33.4;7216.44;13;3811.18;39;610.84;77;117
CAM0205;DISTRIBUCION;OP0014;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2015;7;20.44;2292.02;648.82;2940.84;11677.18;25.18;7128.46;24;5297.52;17;586.47;248.63;166
CAM0206;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2015;7;17.45;2888.61;519.59;3408.2;10770.53;31.64;198.55;4;5210.19;21;457.07;106.37;210
CAM0207;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2015;7;19.25;4397.85;1309.95;5707.8;18723.37;30.48;69.03;5;4218.65;35;668.37;143.17;259
CAM0208;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2015;7;20.42;3003.23;1141.25;4144.48;13107.42;31.62;1270.01;16;2980.5;34;503.76;96.51;247
CAM0209;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2015;7;17.9;3626.21;954.16;4580.37;13947.01;32.84;1035.49;3;2346.78;34;190.09;36.34;188
CAM0210;DISTRIBUCION;OP0001;Chasis;MERCEDES BENZ;ATRON 1720;2-MEDIO;2015;7;17.65;2178.26;695.95;2874.21;9212.86;31.2;799.19;7;2065.32;22;561.05;161.02;233
